record_id,active_ingredient,clinical_indication,contraindications,source_file,source_sheet,source_row,species,dosage_raw,route_hint
24,Betametasona,"Corticóide utilizado em condições inflamatórias e para o tratamento dermatoses, doenças auto-imunes e edemas.","Evitar o uso em animais que apresentam diabetes, insuficiencia renal, ulcerações do trato gastrointestinal, pancreatite, pacientes cardiopatas e com predisposição ao tromboembolismo.",Bulário.xlsx,Cópia de Página1,25,cat,"0,1-0,5mg/kg/6-8h - Via oral",ORAL
25,Bezafibrato,Utilizado para reduzir os níveis de triglicérides e lipoproteínas de densidade muito baixa (VLDL).,Não utilizar em pacientes que apresentam insuficiencia renal ou hepática e afecções de vesícula biliar ou fatores de riscos para doenças musculares.,Bulário.xlsx,Cópia de Página1,26,dog,3-11mg/kg/24h - Via oral,ORAL
25,Bezafibrato,Utilizado para reduzir os níveis de triglicérides e lipoproteínas de densidade muito baixa (VLDL).,Não utilizar em pacientes que apresentam insuficiencia renal ou hepática e afecções de vesícula biliar ou fatores de riscos para doenças musculares.,Bulário.xlsx,Cópia de Página1,26,cat,2mg/kg/24h - Via oral,ORAL
26,Bicarbonato de sódio,Antiácido utilizado no tratamento da acidose sistêmica e para alcalinizaão da urina. Indicado também em crises de hipercalemia e hipercalcemia.,Utilizar com cautela em pacientes com patologias renais.,Bulário.xlsx,Cópia de Página1,27,dog,(Alcalinização da urina) 50mg/kg/8-12h - Via Oral. (Insuficiência Renal) 10mg/kg/8-12 - Via Oral. (Antiácido) 2-5g dissolvidos em água.,ORAL
26,Bicarbonato de sódio,Antiácido utilizado no tratamento da acidose sistêmica e para alcalinizaão da urina. Indicado também em crises de hipercalemia e hipercalcemia.,Utilizar com cautela em pacientes com patologias renais.,Bulário.xlsx,Cópia de Página1,27,cat,(Alcalinização da urina) 50mg/kg/8-12h - Via Oral. (Insuficiência Renal) 10mg/kg/8-12 - Via Oral. (Antiácido) 2-5g dissolvidos em água.,ORAL
27,Bifidobacterium bifidum,Bactéria utilizada para diminuir o pH intestinal por produzir ácidos. Retarda a colonização de bactérias indesejáveis.,"Utilizar com cautela em pacientes diabéticos, gestantes e lactantes.",Bulário.xlsx,Cópia de Página1,28,dog,16.600.000 UFC/animal/24h (pequeno porte) 33.3300.000 UFC/animal/24h (grande porte),
27,Bifidobacterium bifidum,Bactéria utilizada para diminuir o pH intestinal por produzir ácidos. Retarda a colonização de bactérias indesejáveis.,"Utilizar com cautela em pacientes diabéticos, gestantes e lactantes.",Bulário.xlsx,Cópia de Página1,28,cat,16.600.000 UFC/animal/24h,
28,Biotina,"Suplementação utilizada para evitar fissuras, arranhaduras, hemorragias, dermatite, úlceras de sola e doença da linha branca.",Não utilizar em pacientes que apresentam hipersensibilidade á biotina.,Bulário.xlsx,Cópia de Página1,29,dog,"(Dermatose responsiva à biotina) 1,4mg/kg/24h - Via Oral",ORAL
28,Biotina,"Suplementação utilizada para evitar fissuras, arranhaduras, hemorragias, dermatite, úlceras de sola e doença da linha branca.",Não utilizar em pacientes que apresentam hipersensibilidade á biotina.,Bulário.xlsx,Cópia de Página1,29,cat,"(Dermatose responsiva à biotina) 1,4mg/kg/24h - Via Oral",ORAL
29,Boswellia serrata,"Fitoterápico com ação anti-inflamátoria não esteroidal, analgésica e imunossupressora.","Utilizar apenas com orientação médica, evitar o uso em gestantes e lactantes.",Bulário.xlsx,Cópia de Página1,30,dog,40mg/kg/24h - Via oral,ORAL
30,Brometo de potássio,Anticonvulsionante utilizado em associação ou em casos refratários ao fenobarbital.,"Não substituir o potássio por sódio em pacientes que apresentam hipertensão, insuficiencia cardíaca congestiva e hipoadrenocorticismo ou qualquer distúrbio que interfira nos níveis de potássio.",Bulário.xlsx,Cópia de Página1,31,dog,40-50mg/kg/24h (sem fenobarbital) 30-40mg/kg/24h (com fenobarbital) - Via oral,ORAL
30,Brometo de potássio,Anticonvulsionante utilizado em associação ou em casos refratários ao fenobarbital.,"Não substituir o potássio por sódio em pacientes que apresentam hipertensão, insuficiencia cardíaca congestiva e hipoadrenocorticismo ou qualquer distúrbio que interfira nos níveis de potássio.",Bulário.xlsx,Cópia de Página1,31,cat,30mg/kg/24h - Via oral,ORAL
31,Budesonida,Glucocorticóide utilizado para o tratamento patologias inflamatórias intestinais.,"Utilizar com cautela em pacientes com patologias renais, com problemas de úlcera ou infecções, diabéticos ou com predisposição a tromboembolismo.",Bulário.xlsx,Cópia de Página1,32,dog,(cães pequenos) 1mg/kg/24h (cães grandes) 2mg/kg/24h - Via Oral Preferir cápsulas entéricas.,ORAL
31,Budesonida,Glucocorticóide utilizado para o tratamento patologias inflamatórias intestinais.,"Utilizar com cautela em pacientes com patologias renais, com problemas de úlcera ou infecções, diabéticos ou com predisposição a tromboembolismo.",Bulário.xlsx,Cópia de Página1,32,cat,1mg/kg/24h - Via oral Preferir cápsulas entéricas.,ORAL
32,Cálcio quelato,"Auxilia na sinalização das células de defesa, previne e trata hipocalemias, protege mucosas e tem ação antiácida.",Evitar o uso em pacientes com risco de cálculos renais e vesicais contendo cálcio.,Bulário.xlsx,Cópia de Página1,33,dog,2-4mg/kg/24h - Via oral,ORAL
32,Cálcio quelato,"Auxilia na sinalização das células de defesa, previne e trata hipocalemias, protege mucosas e tem ação antiácida.",Evitar o uso em pacientes com risco de cálculos renais e vesicais contendo cálcio.,Bulário.xlsx,Cópia de Página1,33,cat,2-4mg/kg/24h - Via oral,ORAL
33,Camomila,"Extrato fluido com ação calmante, protetora de tecidos e cicatrizante.","Contraindicado para gestantes e lactantes, pode provocar intoxicação.",Bulário.xlsx,Cópia de Página1,34,dog,"0,5-5%- Uso tópico",
33,Camomila,"Extrato fluido com ação calmante, protetora de tecidos e cicatrizante.","Contraindicado para gestantes e lactantes, pode provocar intoxicação.",Bulário.xlsx,Cópia de Página1,34,cat,"0,5-5%- Uso tópico",
34,Carbonato de cálcio,Indicado para animais com deficiência de Cálcio (hipocalcemias).,Evitar o uso em pacientes com risco de cálculos renais e vesicais contendo cálcio.,Bulário.xlsx,Cópia de Página1,35,dog,30-50mg/kg/8-12h - Via oral,ORAL
34,Carbonato de cálcio,Indicado para animais com deficiência de Cálcio (hipocalcemias).,Evitar o uso em pacientes com risco de cálculos renais e vesicais contendo cálcio.,Bulário.xlsx,Cópia de Página1,35,cat,30-50mg/kg/8-12h - Via oral,ORAL
35,Carprofeno,"Atua como anti-inflamatório, antipirético e analgésico. Pode ser utilizado também para tratar osteoartrite em cães.","Consultar o médico veterinário para uso em gatos. Utilizar com cautela em pacientes com patologias renais, hepáticas ou desordens coagulatórias.",Bulário.xlsx,Cópia de Página1,36,dog,"2,2mg/kg/12h ou 4,4mg/kg/24h Via oral",ORAL
36,Cefalexina,"Bactericida utilizado para tratar otite externa, prostatite e infecções do trato respiratório, digestivo, urinário, ósseo, articulares e genitais.",Evitar o uso em pacientes que apresentam hipersensibilidade ás cefalosporinas ou penicilinas.,Bulário.xlsx,Cópia de Página1,37,dog,20-50mg/kg/8-12h - Via oral,ORAL
36,Cefalexina,"Bactericida utilizado para tratar otite externa, prostatite e infecções do trato respiratório, digestivo, urinário, ósseo, articulares e genitais.",Evitar o uso em pacientes que apresentam hipersensibilidade ás cefalosporinas ou penicilinas.,Bulário.xlsx,Cópia de Página1,37,cat,20-50mg/kg/8-12h - Via oral,ORAL
37,Ceramidas (Biocerym),Hidratante e restaurador de pele e pelos dos animais. Forma uma camada de gordura que evita a perda de água das células.,Não há relatos.,Bulário.xlsx,Cópia de Página1,38,dog,"0,05-1% - Uso tópico",
37,Ceramidas (Biocerym),Hidratante e restaurador de pele e pelos dos animais. Forma uma camada de gordura que evita a perda de água das células.,Não há relatos.,Bulário.xlsx,Cópia de Página1,38,cat,"0,05-1% - Uso tópico",
38,Cetoanálogo fenilalanina,"Suplementação de aminoácidos, indicada para o tratamento adjuvante da insuficiência renal crônica e outras condições que levem a uremia.","Não indicado para pacientes com hipertensão grave, função renal residual crítica, com doenças infecciosas, complicações como pericardite e neurite, proteinúria grave e tendência a hipercalemia.",Bulário.xlsx,Cópia de Página1,39,dog,"16,6mg/kg/24h - Via oral",ORAL
38,Cetoanálogo fenilalanina,"Suplementação de aminoácidos, indicada para o tratamento adjuvante da insuficiência renal crônica e outras condições que levem a uremia.","Não indicado para pacientes com hipertensão grave, função renal residual crítica, com doenças infecciosas, complicações como pericardite e neurite, proteinúria grave e tendência a hipercalemia.",Bulário.xlsx,Cópia de Página1,39,cat,"16,6mg/kg/24h - Via oral",ORAL
39,Cetoanálogo isoleucina,"Suplementação de aminoácidos, indicada para o tratamento adjuvante da insuficiência renal crônica e outras condições que levem a uremia.","Não indicado para pacientes com hipertensão grave, função renal residual crítica, com doenças infecciosas, complicações como pericardite e neurite, proteinúria grave e tendência a hipercalemia.",Bulário.xlsx,Cópia de Página1,40,dog,"13,4mg/kg24h - Via oral",ORAL
39,Cetoanálogo isoleucina,"Suplementação de aminoácidos, indicada para o tratamento adjuvante da insuficiência renal crônica e outras condições que levem a uremia.","Não indicado para pacientes com hipertensão grave, função renal residual crítica, com doenças infecciosas, complicações como pericardite e neurite, proteinúria grave e tendência a hipercalemia.",Bulário.xlsx,Cópia de Página1,40,cat,"13,4mg/kg24h - Via oral",ORAL
40,Cetoanálogo leucina,"Suplementação de aminoácidos, indicada para o tratamento adjuvante da insuficiência renal crônica e outras condições que levem a uremia.","Não indicado para pacientes com hipertensão grave, função renal residual crítica, com doenças infecciosas, complicações como pericardite e neurite, proteinúria grave e tendência a hipercalemia.",Bulário.xlsx,Cópia de Página1,41,dog,"20,2mg/kg/24h - Via oral",ORAL
40,Cetoanálogo leucina,"Suplementação de aminoácidos, indicada para o tratamento adjuvante da insuficiência renal crônica e outras condições que levem a uremia.","Não indicado para pacientes com hipertensão grave, função renal residual crítica, com doenças infecciosas, complicações como pericardite e neurite, proteinúria grave e tendência a hipercalemia.",Bulário.xlsx,Cópia de Página1,41,cat,"20,2mg/kg/24h - Via oral",ORAL
41,Cetoanálogo metionina,"Suplementação de aminoácidos, indicada para o tratamento adjuvante da insuficiência renal crônica e outras condições que levem a uremia.","Não indicado para pacientes com hipertensão grave, função renal residual crítica, com doenças infecciosas, complicações como pericardite e neurite, proteinúria grave e tendência a hipercalemia.",Bulário.xlsx,Cópia de Página1,42,dog,"11,8mg/kg/24h - Via Oral",ORAL
41,Cetoanálogo metionina,"Suplementação de aminoácidos, indicada para o tratamento adjuvante da insuficiência renal crônica e outras condições que levem a uremia.","Não indicado para pacientes com hipertensão grave, função renal residual crítica, com doenças infecciosas, complicações como pericardite e neurite, proteinúria grave e tendência a hipercalemia.",Bulário.xlsx,Cópia de Página1,42,cat,"11,8mg/kg/24h - Via Oral",ORAL
42,Cetoanálogo valina,"Suplementação de aminoácidos, indicada para o tratamento adjuvante da insuficiência renal crônica e outras condições que levem a uremia.","Não indicado para pacientes com hipertensão grave, função renal residual crítica, com doenças infecciosas, complicações como pericardite e neurite, proteinúria grave e tendência a hipercalemia.",Bulário.xlsx,Cópia de Página1,43,dog,"17,2mg/kg/24h - Via Oral",ORAL
42,Cetoanálogo valina,"Suplementação de aminoácidos, indicada para o tratamento adjuvante da insuficiência renal crônica e outras condições que levem a uremia.","Não indicado para pacientes com hipertensão grave, função renal residual crítica, com doenças infecciosas, complicações como pericardite e neurite, proteinúria grave e tendência a hipercalemia.",Bulário.xlsx,Cópia de Página1,43,cat,"17,2mg/kg/24h - Via Oral",ORAL
43,Cetoconazol,"Fungicina, fungiostático. Indicado para hiperadrenocorticismo canino (síndrome de Cushing).",Evitar o uso em gestantes e em animais com insuficência hepática.,Bulário.xlsx,Cópia de Página1,44,dog,5-10mg/kg/12-24h - Via oral. 2% - Uso tópico,ORAL
43,Cetoconazol,"Fungicina, fungiostático. Indicado para hiperadrenocorticismo canino (síndrome de Cushing).",Evitar o uso em gestantes e em animais com insuficência hepática.,Bulário.xlsx,Cópia de Página1,44,cat,5-10mg/kg/24h - Via oral 2% - Uso tópico,ORAL
45,Chitosan (fibra de crustáceo),Polissacarídeo aglutinante de gordura antes da sua absorção. Auxilia na perda de peso.,"Não deve ser utilizado em animais que apresentam alergia a crustáceos, gestantes, lactantes e que façam o uso de anticoagulantes.",Bulário.xlsx,Cópia de Página1,46,dog,10-20mg/kg/24h- Via oral,ORAL
45,Chitosan (fibra de crustáceo),Polissacarídeo aglutinante de gordura antes da sua absorção. Auxilia na perda de peso.,"Não deve ser utilizado em animais que apresentam alergia a crustáceos, gestantes, lactantes e que façam o uso de anticoagulantes.",Bulário.xlsx,Cópia de Página1,46,cat,10-20mg/kg/24h- Via oral,ORAL
46,Ciclopiroxolamina,"Antifúngico tópico utilizado em micoses cutâneas superficiais. Tem ação sobre Tinea pedis, Tinea cruris, Tinea corporis devido a Trichophyton rubrum, Trichophyton mentagrophytes, Epidermophyton floccosum e Microsporum canis, candidíase devido a Candida albicans e pitiríase versicolor devido a Malassezia furfur",Não utilizar em região ocular.,Bulário.xlsx,Cópia de Página1,47,dog,"0,1-1% Uso tópico",
46,Ciclopiroxolamina,"Antifúngico tópico utilizado em micoses cutâneas superficiais. Tem ação sobre Tinea pedis, Tinea cruris, Tinea corporis devido a Trichophyton rubrum, Trichophyton mentagrophytes, Epidermophyton floccosum e Microsporum canis, candidíase devido a Candida albicans e pitiríase versicolor devido a Malassezia furfur",Não utilizar em região ocular.,Bulário.xlsx,Cópia de Página1,47,cat,"0,1-1% Uso tópico",
47,Ciclofosfamida,Antineoplásico utilizado para o tratamento de diversas neoplasias. Utilizado também como imunossupressor.,"Não deve ser utilizada em pacientes que apresentam insuficiência grave de medula óssea, em gestantes, lactantes ou em animais destinados à reprodução, pois apresenta fator mutagênico.",Bulário.xlsx,Cópia de Página1,48,dog,"1-2,2mg/kg/24h (3 a 4 dias) - Via oral (Antineoplásico e imunosupressora). Recomenda-se intervalos de administração, com 3 dias de descanso.",ORAL
47,Ciclofosfamida,Antineoplásico utilizado para o tratamento de diversas neoplasias. Utilizado também como imunossupressor.,"Não deve ser utilizada em pacientes que apresentam insuficiência grave de medula óssea, em gestantes, lactantes ou em animais destinados à reprodução, pois apresenta fator mutagênico.",Bulário.xlsx,Cópia de Página1,48,cat,"1-2,2mg/kg/24h (3 a 4 dias) - Via oral (Antineoplásico e imunosupressora). Recomenda-se intervalos de administração, com 3 dias de descanso.",ORAL
48,Ciclosporina,"Utilizada para tratamento de doenças imunomediadas, anemia hemolítica, atopia canina, fístulas perianais e ceratoconjuntivite seca (uso oftálmico).","Evitar o uso em gestantes e lactantes, em gatos com FIV e FELV positivo e infecções malignas.",Bulário.xlsx,Cópia de Página1,49,dog,3-10mg/kg/12/24/48h - Via oral,ORAL
48,Ciclosporina,"Utilizada para tratamento de doenças imunomediadas, anemia hemolítica, atopia canina, fístulas perianais e ceratoconjuntivite seca (uso oftálmico).","Evitar o uso em gestantes e lactantes, em gatos com FIV e FELV positivo e infecções malignas.",Bulário.xlsx,Cópia de Página1,49,cat,3-10mg/kg/12/24/48h - Via oral,ORAL
49,Cimetidina,"Antagonista H2, antiemético e antiulceroso utilizado no tratamento agudo de úlcera duodenal, úlcera gástrica benigna, úlcera de boca e pós-cirúrgica, úlcera péptica recorrente.",Utilizar com cautela em pacientes que apresentam patologias renias ou hepáticas e em pacientes idosos.,Bulário.xlsx,Cópia de Página1,50,dog,5-10mg/kg/12h - Via oral - Tratamento de 3 dias.,ORAL
49,Cimetidina,"Antagonista H2, antiemético e antiulceroso utilizado no tratamento agudo de úlcera duodenal, úlcera gástrica benigna, úlcera de boca e pós-cirúrgica, úlcera péptica recorrente.",Utilizar com cautela em pacientes que apresentam patologias renias ou hepáticas e em pacientes idosos.,Bulário.xlsx,Cópia de Página1,50,cat,5-10mg/kg/12h - Via oral - Tratamento de 3 dias.,ORAL
